,image_name,dataset_label,in_test
22879,32553_w.jpg,9,1
9757,32_e.jpg,2,1
4067,32028_n.jpg,8,1
18687,1528_w.jpg,7,1
13636,24807_s.jpg,5,0
1607,23321_n.jpg,9,0
10982,37610_e.jpg,7,1
4960,34161_n.jpg,2,0
9810,33275_e.jpg,2,1
11485,33511_e.jpg,9,0
12603,780_s.jpg,9,0
20741,37359_w.jpg,4,1
884,27208_n.jpg,0,0
21088,24420_w.jpg,4,1
1903,23349_n.jpg,0,1
9971,25517_e.jpg,9,1
8110,1633_e.jpg,9,0
12728,23609_s.jpg,8,1
21795,37801_w.jpg,9,1
2045,35165_n.jpg,0,1
22676,32408_w.jpg,7,0
20284,27360_w.jpg,1,0
14663,34890_s.jpg,9,1
8006,35178_e.jpg,0,1
12484,27464_s.jpg,8,1
694,937_n.jpg,9,1
16271,319_s.jpg,8,1
10296,178_e.jpg,9,0
13586,34488_s.jpg,0,0
221,27983_n.jpg,1,1
20029,28739_w.jpg,0,0
15078,23324_s.jpg,9,1
3796,37756_n.jpg,9,1
8767,26874_e.jpg,2,1
481,28013_n.jpg,4,0
16391,32202_s.jpg,9,1
11701,34590_e.jpg,8,0
7603,22452_e.jpg,8,1
10329,379_e.jpg,9,0
1094,2117_n.jpg,9,0
19558,1586_w.jpg,7,0
17619,30186_s.jpg,4,1
8467,2310_e.jpg,9,1
15617,24487_s.jpg,9,0
7295,344_e.jpg,7,1
12431,1235_s.jpg,4,0
8916,26258_e.jpg,9,0
11622,31085_e.jpg,9,1
20401,28162_w.jpg,8,0
5877,34634_n.jpg,4,0
18698,1538_w.jpg,1,0
17462,31160_s.jpg,4,0
1246,31990_n.jpg,8,0
13484,22512_s.jpg,1,1
1398,22617_n.jpg,7,0
14536,34736_s.jpg,9,1
8393,27165_e.jpg,9,1
2484,772_n.jpg,9,0
1657,33959_n.jpg,0,0
18089,27770_w.jpg,1,1
17368,35327_s.jpg,9,0
21855,1894_w.jpg,9,1
332,921_n.jpg,4,0
22380,35138_w.jpg,2,1
16648,36032_s.jpg,4,0
11456,2086_e.jpg,9,0
14500,22409_s.jpg,9,1
21937,30769_w.jpg,8,0
6356,28044_e.jpg,4,0
21026,24399_w.jpg,9,1
16651,38122_s.jpg,9,0
22029,23566_w.jpg,0,1
14406,2316_s.jpg,4,0
