,image_name,database_label,in_test
0,4.jpg,0,0
0,10006.jpg,0,0
0,1001.jpg,0,0
0,10014.jpg,0,0
0,10018.jpg,0,0
0,10029.jpg,0,0
0,10032.jpg,0,0
0,10056.jpg,0,0
0,1009.jpg,0,0
0,10113.jpg,0,0
0,1012.jpg,0,0
0,10126.jpg,0,0
0,10144.jpg,0,0
0,10151.jpg,0,0
0,10161.jpg,0,0
0,10165.jpg,0,0
0,10176.jpg,0,0
0,10184.jpg,0,0
0,10185.jpg,0,0
0,10191.jpg,0,0
0,10196.jpg,0,0
0,10198.jpg,0,0
0,10205.jpg,0,0
0,10210.jpg,0,0
0,10228.jpg,0,0
0,10231.jpg,0,0
0,10251.jpg,0,0
0,10252.jpg,0,0
0,10257.jpg,0,0
0,10266.jpg,0,0
0,10278.jpg,0,0
0,1028.jpg,0,0
0,10295.jpg,0,0
0,10303.jpg,0,0
0,10306.jpg,0,0
0,10310.jpg,0,0
0,10312.jpg,0,0
0,10316.jpg,0,0
0,10318.jpg,0,0
0,10328.jpg,0,0
0,10350.jpg,0,0
0,10357.jpg,0,0
0,10362.jpg,0,0
0,10367.jpg,0,0
0,10374.jpg,0,0
0,10383.jpg,0,0
0,10402.jpg,0,0
0,1041.jpg,0,0
0,10421.jpg,0,0
0,10444.jpg,0,0
0,1045.jpg,0,0
0,10452.jpg,0,0
0,10466.jpg,0,0
0,10480.jpg,0,0
0,10485.jpg,0,0
0,10489.jpg,0,0
0,10495.jpg,0,0
0,10499.jpg,0,0
0,10500.jpg,0,0
0,10502.jpg,0,0
0,10511.jpg,0,0
0,10520.jpg,0,0
0,10528.jpg,0,0
0,1055.jpg,0,0
0,10553.jpg,0,0
0,10559.jpg,0,0
0,10570.jpg,0,0
0,10576.jpg,0,0
0,1058.jpg,0,0
0,10582.jpg,0,0
0,10598.jpg,0,0
0,10608.jpg,0,0
0,10620.jpg,0,0
0,10626.jpg,0,0
0,10630.jpg,0,0
0,1064.jpg,0,0
0,10641.jpg,0,0
0,10646.jpg,0,0
0,10653.jpg,0,0
0,10656.jpg,0,0
0,10672.jpg,0,0
0,10695.jpg,0,0
0,10699.jpg,0,0
0,10717.jpg,0,0
0,10720.jpg,0,0
0,10730.jpg,0,0
0,10744.jpg,0,0
0,10754.jpg,0,0
0,10756.jpg,0,0
0,10790.jpg,0,0
0,10792.jpg,0,0
0,10798.jpg,0,0
0,10805.jpg,0,0
0,10809.jpg,0,0
0,10812.jpg,0,0
0,10828.jpg,0,0
0,10831.jpg,0,0
0,10832.jpg,0,0
0,10842.jpg,0,0
0,10849.jpg,0,0
0,10865.jpg,0,0
0,10872.jpg,0,0
0,10878.jpg,0,0
0,10886.jpg,0,0
0,10892.jpg,0,0
0,10899.jpg,0,0
0,1090.jpg,0,0
0,10911.jpg,0,0
0,10921.jpg,0,0
